log2FC,pval,padj,sig,mean_expr
0.471496759832295,8.30717783264793e-6,0.04100461969168101,Not significant,11.45995456682171
-3.1075692277632037,9.481013251755914e-6,0.04100461969168101,Down-regulated,5.872312570119948
0.7083905539783633,8.25268342261595e-6,0.04100461969168101,Up-regulated,10.507097394868001
0.6697362562622207,1.0190521321059945e-5,0.04100461969168101,Up-regulated,11.218831530662781
3.0852744524977824,4.3328383264649175e-6,0.04100461969168101,Up-regulated,7.166990846249337
0.5384320654254209,1.8634466514525688e-5,0.04165631464508248,Up-regulated,7.162551584024072
-1.0141423959101257,1.7202691532220114e-5,0.04165631464508248,Down-regulated,4.840891981106658
-0.5643729757660356,1.5492278149130922e-5,0.04165631464508248,Down-regulated,8.63486330351957
-2.0606905900109456,1.6724929231931688e-5,0.04165631464508248,Down-regulated,3.6704055134852913
-0.5665827110834805,2.267482597454464e-5,0.04561948237818637,Down-regulated,7.460263004223037
1.2392699495222628,2.510630759604679e-5,0.045919436593169584,Up-regulated,7.406356527377662
-0.3792430498170374,4.479128904019272e-5,0.047718662617713854,Not significant,6.691298864706201
-6.820851311821491,4.9808236739996565e-5,0.047718662617713854,Down-regulated,0.7510852489257508
-0.4671418403799068,3.668899697059433e-5,0.047718662617713854,Not significant,7.124970382430732
-2.791002146314594,4.118298464426665e-5,0.047718662617713854,Down-regulated,8.768469502286111
1.167016325560665,4.965722683169027e-5,0.047718662617713854,Up-regulated,6.5384645187741635
1.586375411809012,4.822797716337866e-5,0.047718662617713854,Up-regulated,5.06533453232079
-0.9192796338487357,4.2527146883788066e-5,0.047718662617713854,Down-regulated,7.982570904403394
0.7313682449669034,4.2566190496272143e-5,0.047718662617713854,Up-regulated,11.689633023560585
0.36936257037870845,4.109004623727621e-5,0.047718662617713854,Not significant,10.889843155905492
0.971722676051515,4.5839830882275606e-5,0.047718662617713854,Up-regulated,9.773061033640177
-2.0480802464767223,5.4017226178158906e-5,0.04939875333992632,Down-regulated,2.2546706095918214
1.3089684856512678,6.869273320906623e-5,0.05004992588306505,Up-regulated,6.092397459557015
0.9888120682923773,6.965544633062385e-5,0.05004992588306505,Up-regulated,6.3495548399597475
-0.7319601798430311,6.2123949172467e-5,0.05004992588306505,Down-regulated,5.126362525321593
-2.6721139267395175,6.920597741952101e-5,0.05004992588306505,Down-regulated,7.985148354810598
0.8689777720316343,6.729879235666335e-5,0.05004992588306505,Up-regulated,9.158011667440178
2.3409834332663255,6.315326176879124e-5,0.05004992588306505,Up-regulated,4.16803363829906
1.029559102244714,7.400452086539964e-5,0.05134127432037846,Up-regulated,6.133109238470486
-0.5809268712478053,7.938926865909965e-5,0.053241089871747534,Down-regulated,6.537688677306193
4.099773983424573,8.361218834339649e-5,0.05426431023486432,Up-regulated,5.291828340738204
0.9936264697093664,1.6262868462461197e-4,0.05434295331431692,Up-regulated,7.0583900352087285
1.4491967668036225,1.0479132651156291e-4,0.05434295331431692,Up-regulated,4.873298293780278
-1.8986875174066382,1.4060186885646235e-4,0.05434295331431692,Down-regulated,4.11851017584777
0.9791707444936888,1.0567601288681256e-4,0.05434295331431692,Up-regulated,5.148264621461391
0.4290694829114772,9.844148414454351e-5,0.05434295331431692,Not significant,4.382041087856275
-1.9616378078873886,1.606203754237713e-4,0.05434295331431692,Down-regulated,4.047127272086339
0.7484158600043216,1.184380782788547e-4,0.05434295331431692,Up-regulated,10.854455765171824
2.1509763149634282,1.1242551060205288e-4,0.05434295331431692,Up-regulated,3.6273767888398525
0.902847945173463,1.409544105962458e-4,0.05434295331431692,Up-regulated,4.02002065878244
1.2641214904299414,1.4022661103273054e-4,0.05434295331431692,Up-regulated,4.707152421245527
-1.2185735207522024,1.1889344083953878e-4,0.05434295331431692,Down-regulated,6.130617815590498
0.39007917049285545,1.3751068992825754e-4,0.05434295331431692,Not significant,7.413951306384727
0.6888095263489884,1.5801162419306516e-4,0.05434295331431692,Up-regulated,7.519319457848326
-1.1260751369909618,1.3672964495949953e-4,0.05434295331431692,Down-regulated,6.222432198192768
-2.5717235791864352,1.631202209441122e-4,0.05434295331431692,Down-regulated,5.4191279682164035
1.7242453654751326,1.0433527201798296e-4,0.05434295331431692,Up-regulated,5.3720528644344565
-1.286241868825896,1.579274439975306e-4,0.05434295331431692,Down-regulated,6.705823074499502
-3.0353294154258217,1.2318894654078573e-4,0.05434295331431692,Down-regulated,3.225093133825523
0.4225155627204451,1.647107918067248e-4,0.05434295331431692,Not significant,5.8231212059253545
1.426280690715111,1.0296254478315288e-4,0.05434295331431692,Up-regulated,6.204823363748142
-0.7037375148257716,1.6476565197938924e-4,0.05434295331431692,Down-regulated,7.199035609564684
-1.3401646296358027,1.4074172279666207e-4,0.05434295331431692,Down-regulated,5.405089025924102
-0.7143936185847899,1.3649993010735723e-4,0.05434295331431692,Down-regulated,8.625920597193272
-1.7270088520146833,1.022810529617291e-4,0.05434295331431692,Down-regulated,5.218256130530562
0.9160576414995756,9.560604498327262e-5,0.05434295331431692,Up-regulated,5.285033322964041
1.0630369659961092,1.5607339448267142e-4,0.05434295331431692,Up-regulated,3.9266718448886824
0.7940081418195364,1.5177244527218232e-4,0.05434295331431692,Up-regulated,6.095921294717593
-0.8454756172410427,1.5303577705396085e-4,0.05434295331431692,Down-regulated,4.682042943533681
0.9714190058355046,1.5345075660487024e-4,0.05434295331431692,Up-regulated,6.11397111581349
1.1433227451481844,1.1582741953982262e-4,0.05434295331431692,Up-regulated,6.96522928817155
1.184716337474974,1.6769781341536088e-4,0.05441794045328461,Up-regulated,8.832667027180053
-1.5996847448342413,1.7130696845384902e-4,0.05470674441782521,Down-regulated,5.80840474834979
0.6588666638302536,1.8173519648699771e-4,0.0553989457291198,Up-regulated,7.954046918988624
-4.508069578571673,1.7865039435490242e-4,0.0553989457291198,Down-regulated,-0.4514301034885064
0.8242564581480529,1.8030582814102688e-4,0.0553989457291198,Up-regulated,8.92482106559819
1.0754712371691753,1.8570963975173766e-4,0.05572126585817219,Up-regulated,6.136161301300912
-3.873942249953631,1.8833173012355032e-4,0.05572126585817219,Down-regulated,2.109392662321702
-0.8444277507167541,2.0420731519793622e-4,0.05757791949361459,Down-regulated,7.633096266537347
1.8500442033147522,1.9747732451478293e-4,0.05757791949361459,Up-regulated,7.602434672330283
-1.5923758409050919,2.0605448598539941e-4,0.05757791949361459,Down-regulated,3.218987819100721
0.5512805555504308,2.0199981489915376e-4,0.05757791949361459,Up-regulated,5.437113839224918
0.9723149137173603,2.598148741686347e-4,0.059122054328708956,Up-regulated,5.903183690351435
-1.099017870036561,2.865403024602821e-4,0.059122054328708956,Down-regulated,7.353051055296784
0.35134114147225226,2.621935169354558e-4,0.059122054328708956,Not significant,7.771660108817293
-1.5316329814121294,2.6693765286052543e-4,0.059122054328708956,Down-regulated,4.617460192765462
1.7023921844972563,2.7370211240431997e-4,0.059122054328708956,Up-regulated,8.185623118229897
-0.7566967864433192,2.3511459239560729e-4,0.059122054328708956,Down-regulated,5.072681538023668
1.272513880904393,2.37238342592784e-4,0.059122054328708956,Up-regulated,4.788788643224874
0.748846381771024,2.8264302976636994e-4,0.059122054328708956,Up-regulated,9.431038063160843
0.9224499821386454,2.7979728967583104e-4,0.059122054328708956,Up-regulated,7.492093622417981
0.38607511666252403,2.176049861072716e-4,0.059122054328708956,Not significant,4.889437486923592
-0.8709419511938243,2.810246249487336e-4,0.059122054328708956,Down-regulated,6.388127548082702
1.7263899799535594,2.737446495300405e-4,0.059122054328708956,Up-regulated,3.632142816828408
0.7742764683389609,2.6767747023859976e-4,0.059122054328708956,Up-regulated,7.2207617027813065
0.594946573468123,2.3019151580086817e-4,0.059122054328708956,Up-regulated,11.74228916453108
-2.213740617053115,2.636024973094279e-4,0.059122054328708956,Down-regulated,5.034822774564872
0.7675314917088256,2.6834534879061e-4,0.059122054328708956,Up-regulated,5.842691298047326
0.6268366463102719,2.8271294881282693e-4,0.059122054328708956,Up-regulated,10.91511723260691
0.9348022335742514,2.938617939694267e-4,0.059122054328708956,Up-regulated,4.169156181638324
-1.3043371127915697,2.435726771761087e-4,0.059122054328708956,Down-regulated,4.384479769455188
-1.450864480911787,2.787092303408072e-4,0.059122054328708956,Down-regulated,4.728858398827762
2.6073798722504558,2.8844775553275127e-4,0.059122054328708956,Up-regulated,6.028386388040616
1.1116076268067028,2.4775604186940553e-4,0.059122054328708956,Up-regulated,8.473010859820826
0.8161543662306947,2.506374120170487e-4,0.059122054328708956,Up-regulated,9.077849716969281
-1.1249187566378254,2.911016440405545e-4,0.059122054328708956,Down-regulated,4.844041868978788
-0.5937498036791142,2.5875949302503145e-4,0.059122054328708956,Down-regulated,7.343774184620344
-0.6843891659439425,2.9289235523910246e-4,0.059122054328708956,Down-regulated,8.040428018159284
-0.3906336438680631,2.3660741298232814e-4,0.059122054328708956,Not significant,4.864857848005107
