log2FC,pval,padj,sig
-0.4477011488670186,2.321257146866619e-6,0.041780307386452276,Not significant
-0.8008872513576666,7.991034582317142e-5,0.7191531572356312,Not significant
0.8878830082122473,0.06917378693007883,0.8360260860879423,Not significant
-3.7765436168659345,0.008910465061295515,0.8360260860879423,Not significant
-2.1852223078694504,0.016306370274255518,0.8360260860879423,Not significant
-1.5394543426771283,0.005685820043947774,0.8360260860879423,Not significant
-4.699968353086415,0.030556187906835484,0.8360260860879423,Not significant
-1.1072334384780607,0.0437975490915079,0.8360260860879423,Not significant
-3.589882892879546,0.010534913404808633,0.8360260860879423,Not significant
-3.5171871884735557,0.009847084924496584,0.8360260860879423,Not significant
-2.136212438872499,0.045493466411346994,0.8360260860879423,Not significant
-0.7249040650529528,0.06726841345592194,0.8360260860879423,Not significant
-1.1033716501301702,0.04421510390223339,0.8360260860879423,Not significant
-1.3162378129683316,0.05856436754406488,0.8360260860879423,Not significant
-2.6881793973432124,0.01846379372947583,0.8360260860879423,Not significant
-3.2457736351319264,0.0165943953723666,0.8360260860879423,Not significant
-1.1511745512470928,0.007344098532799113,0.8360260860879423,Not significant
-2.194373698699547,2.9911036525983085e-4,0.8360260860879423,Not significant
-2.9744077209999418,0.011446959104559711,0.8360260860879423,Not significant
-2.3375708191666833,0.01963223774512986,0.8360260860879423,Not significant
-1.4269686585228816,0.03984702470501331,0.8360260860879423,Not significant
-0.9316991342324203,0.06754545738558256,0.8360260860879423,Not significant
-2.536625457432783,0.05230595663404053,0.8360260860879423,Not significant
0.9227893098693407,0.06757141622243484,0.8360260860879423,Not significant
-3.0575281488890074,0.05222819712548283,0.8360260860879423,Not significant
0.7612012794917851,0.0010122511953694967,0.8360260860879423,Not significant
-1.2471664011824644,0.042478210850684074,0.8360260860879423,Not significant
-2.392276912467139,0.05049665399471514,0.8360260860879423,Not significant
-0.9618089287723075,0.009412083986358528,0.8360260860879423,Not significant
-0.5768129303315686,0.04199141204643852,0.8360260860879423,Not significant
-1.0856508600195376,0.06449230672681684,0.8360260860879423,Not significant
-2.581356772609041,0.06227508205828743,0.8360260860879423,Not significant
-1.6984033912589362,0.05268061593716036,0.8360260860879423,Not significant
-1.7140064915198114,0.061654724694017386,0.8360260860879423,Not significant
-2.960178077778191,0.04735251643612267,0.8360260860879423,Not significant
-0.5274351327931619,0.0051826608336755725,0.8360260860879423,Not significant
-1.9503861610876672,0.061794653925687996,0.8360260860879423,Not significant
-3.4857144952223793,0.06902999875308119,0.8360260860879423,Not significant
-0.6440691077808385,0.0503404758787305,0.8360260860879423,Not significant
-3.070879208520801,0.06261538820506182,0.8360260860879423,Not significant
1.5150325606992636,0.03886546881858211,0.8360260860879423,Not significant
0.6102210952463754,0.03866049591641806,0.8360260860879423,Not significant
-0.6432190819094288,0.06117914145582071,0.8360260860879423,Not significant
-2.8423425506185382,0.01822331211267354,0.8360260860879423,Not significant
-2.7665037675207147,0.05227842778968681,0.8360260860879423,Not significant
1.0296749698775503,0.04839416424728779,0.8360260860879423,Not significant
0.6868634024430671,0.023032829142589195,0.8360260860879423,Not significant
-1.2085635889436244,0.019327737137028084,0.8360260860879423,Not significant
0.9008601425145288,0.03734817300881757,0.8360260860879423,Not significant
0.8577005849057944,0.04558183011261359,0.8360260860879423,Not significant
0.6275812514597896,0.03905442721371717,0.8360260860879423,Not significant
-0.8719338184723542,0.0082996002963744,0.8360260860879423,Not significant
-2.377068689643838,0.06290518057743434,0.8360260860879423,Not significant
1.5588806340356558,0.0482454248372731,0.8360260860879423,Not significant
0.8946408746480179,0.041486951452854685,0.8360260860879423,Not significant
0.5663835588797683,0.061954534632463726,0.8360260860879423,Not significant
1.340022815037233,0.040214966710814065,0.8360260860879423,Not significant
0.41883205733146056,0.04342313968419713,0.8360260860879423,Not significant
-1.0125436849274143,0.02157902385773493,0.8360260860879423,Not significant
-0.5071889088880734,0.06671636705072963,0.8360260860879423,Not significant
