log2FC,pval,padj,sig
-0.946374305533106,2.6766364869072897e-5,0.3489601131126557,Not significant
-0.509575788537159,3.477776690379267e-5,0.3489601131126557,Not significant
0.5147444503404959,2.1196864976502256e-4,0.4792148309163647,Not significant
-1.4810632750950532,2.0827914698061604e-4,0.4792148309163647,Not significant
2.9629455432653646,2.149159596495556e-4,0.4792148309163647,Not significant
-0.6917310927773612,1.6063881834823467e-4,0.4792148309163647,Not significant
-0.7564754367870989,1.5433797763061345e-4,0.4792148309163647,Not significant
-3.918634833583484,8.756572654089364e-5,0.4792148309163647,Not significant
-0.9353341461689713,2.0529476135428579e-4,0.4792148309163647,Not significant
0.5212706555726436,2.4823390156690305e-4,0.49815579366446106,Not significant
-3.2819283678004285,0.007733338942766305,0.525503158674756,Not significant
-0.20868793139208286,0.00405543354288696,0.525503158674756,Not significant
0.4243786190037113,0.007044026921810678,0.525503158674756,Not significant
-3.334424490686247,0.006927801129332933,0.525503158674756,Not significant
-0.7999621263411534,0.00604226035755378,0.525503158674756,Not significant
-0.4306774534768514,0.0031457518554644727,0.525503158674756,Not significant
-0.6221617326873421,0.0024769577277459834,0.525503158674756,Not significant
0.56198946738325,0.005921414817998923,0.525503158674756,Not significant
0.12762774327452142,0.003838188125302619,0.525503158674756,Not significant
0.2643361998872811,0.001269641380635136,0.525503158674756,Not significant
0.28732248546075034,0.007105954731527498,0.525503158674756,Not significant
0.5604239174221206,0.00610444609395058,0.525503158674756,Not significant
-1.5410136639204854,0.0055877492709268655,0.525503158674756,Not significant
-1.2088509542643173,0.007843311753210213,0.525503158674756,Not significant
-0.9686492474933783,0.006303029662549921,0.525503158674756,Not significant
0.45701293836122314,0.0014040942104782904,0.525503158674756,Not significant
-0.9140126451306889,0.007836990632478912,0.525503158674756,Not significant
-2.092746570427681,0.0031774015909245956,0.525503158674756,Not significant
0.5322233109510393,0.0037811959170797054,0.525503158674756,Not significant
-0.8403234501911019,0.002894319215872508,0.525503158674756,Not significant
1.0605154219308572,0.004300008672638497,0.525503158674756,Not significant
-0.40922596347257034,0.006484699389062487,0.525503158674756,Not significant
-3.022152673208722,0.0029073565052422207,0.525503158674756,Not significant
0.29944392537580633,4.7267747922426516e-4,0.525503158674756,Not significant
-0.576784550828032,0.008099941934952549,0.525503158674756,Not significant
-0.6742891109997577,0.004195543580343376,0.525503158674756,Not significant
-0.3238562191704464,0.004713470148753781,0.525503158674756,Not significant
0.3847130529873075,0.005417275130295051,0.525503158674756,Not significant
0.6895419093153601,0.007932062776258434,0.525503158674756,Not significant
0.9271428360006846,0.008210588211975326,0.525503158674756,Not significant
-0.4263675227075199,0.0034620550969182767,0.525503158674756,Not significant
-0.34972566123444393,0.0025799803182771195,0.525503158674756,Not significant
0.5820864968625781,0.002903121784729632,0.525503158674756,Not significant
0.5300983832138932,0.006256499544777938,0.525503158674756,Not significant
0.26533437910943114,0.00179719009595477,0.525503158674756,Not significant
1.203524553116515,0.0012375782942218073,0.525503158674756,Not significant
-1.000045125124029,0.0041889950467865365,0.525503158674756,Not significant
-0.5584478390278882,0.004597043629020029,0.525503158674756,Not significant
-1.1661831666032185,0.0022454934460101523,0.525503158674756,Not significant
-0.7489449360064877,0.0049760215023399,0.525503158674756,Not significant
0.4034775074317496,0.005636979911133489,0.525503158674756,Not significant
0.8835094096131275,6.698339813337042e-4,0.525503158674756,Not significant
0.5802704872392712,0.008317447199608618,0.525503158674756,Not significant
0.3999342730553077,0.0055922009766139905,0.525503158674756,Not significant
-0.8001100025317953,0.00442295150042789,0.525503158674756,Not significant
-1.0523663350023953,0.003862623272976718,0.525503158674756,Not significant
0.577710626428054,0.003040098212366576,0.525503158674756,Not significant
0.7638577917587108,0.001407148337666754,0.525503158674756,Not significant
-0.7962673037906485,0.004293889654448674,0.525503158674756,Not significant
0.5441712107875509,0.0031279897812870896,0.525503158674756,Not significant
1.0956226929063746,0.002479495406151233,0.525503158674756,Not significant
-1.6434575867246046,0.005973285515786409,0.525503158674756,Not significant
-0.38648961196811715,0.0010187159033641642,0.525503158674756,Not significant
0.25216070233650534,0.006871700361657697,0.525503158674756,Not significant
0.5340648654367257,0.008404849686513196,0.525503158674756,Not significant
0.39985816327014767,0.0036768101041198212,0.525503158674756,Not significant
0.4716203342300602,0.002499954146866124,0.525503158674756,Not significant
-1.1349738079721865,0.0077064249038080925,0.525503158674756,Not significant
0.22140308016275423,0.005976843495864657,0.525503158674756,Not significant
