"Gene_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"AT2G18690",141.543275266842,-1.74332019106753,0.197201432969514,7.68396687217777e-20,1.41687916065147e-17,"Down-regulated"
"AT5G45820",148.061948961189,1.68133008060996,0.190466189016762,8.52213489572036e-20,1.55646648471647e-17,"Up-regulated"
"AT1G23390",801.897292821895,1.17795173650962,0.133067658451419,9.57959339449622e-20,1.73309304270051e-17,"Up-regulated"
"AT4G04020",232.16697709454,1.5264996090496,0.173045598608281,1.04247916668551e-19,1.86837597939515e-17,"Up-regulated"
"AT2G29350",151.117843288773,-6.14817267822,0.695740985368367,1.11544923895945e-19,1.98064537551161e-17,"Down-regulated"
"ATCG00520",410.671077139087,1.43227333993714,0.162957225227374,1.31536785223567e-19,2.31420268828656e-17,"Up-regulated"
"AT2G26500",2734.01680141225,0.940282425734235,0.106370986682593,1.58847317095638e-19,2.76096894889148e-17,"Not significant"
"AT5G67030",446.364197674321,1.1603313649501,0.131916945788515,1.59809956368021e-19,2.76096894889148e-17,"Up-regulated"
"AT3G14420",2289.14346196465,0.920207886695541,0.104623191883459,2.23195923329263e-19,3.82163234079043e-17,"Not significant"
"AT1G64500",277.944504887092,1.41973170301614,0.163985914553277,4.22915357774836e-19,7.17721045667968e-17,"Up-regulated"
"AT5G53870",119.472658134374,-5.21403029817014,0.603806411709086,4.51559904479285e-19,7.59610902473618e-17,"Down-regulated"
"AT5G15650",438.263308091139,-1.17591935346857,0.135646114401316,4.87078250188116e-19,8.12234748161522e-17,"Down-regulated"
"AT4G12880",149.864886869085,-1.69358643899078,0.196796447113761,6.21126960414064e-19,1.02684066550522e-16,"Down-regulated"
"AT2G24980",66.5357078285111,-2.71272004483807,0.315340069210592,7.63929376375152e-19,1.25212595305524e-16,"Down-regulated"
"AT3G46280",117.233752746048,-1.98155672222816,0.231576283270837,9.10746800543484e-19,1.48011791474766e-16,"Down-regulated"
"AT3G17510",221.408522914954,1.3954564616109,0.162914496561526,9.71376787662136e-19,1.56538593756275e-16,"Up-regulated"
"AT4G02270",136.629792294762,-1.84950709603343,0.216463761106931,1.00013993914562e-18,1.57210521417996e-16,"Down-regulated"
"AT5G19190",192.438585490808,1.60332658133163,0.187528857948102,9.94939929249679e-19,1.57210521417996e-16,"Up-regulated"
"AT5G57560",407.311452823745,1.52489571644226,0.178364890101687,9.91317079261667e-19,1.57210521417996e-16,"Up-regulated"
"AT4G08770",101.246833489111,-2.0833115498774,0.244270486818511,1.12828436127936e-18,1.75911456880116e-16,"Down-regulated"
